player,season_end_year,squad,comp,archetype,archetype_name,pc1,pc2,pc3,pc4,pc5,pc6,pc7,pc8,pc9,pc10,pc11,table
Abdenego Nankishi,2025,Werder Bremen,Bundesliga,0,Forward: Aerial Control + Possession Control,-4.687107834131581,-0.17308521759747464,1.4330009868586444,-0.3065603657854723,2.097952813876418,0.9815542290511416,0.8046295820183786,0.1239560591729969,-0.23582238070511607,0.2737857604066676,-0.30683086839201223,FW
Abdessamad Ezzalzouli,2022,Barcelona,La Liga,1,Forward: Distribution + Ball Carrying,2.711875549193337,-0.46195550331040636,1.0740686437151332,2.024407687501764,-0.9104883133725252,0.7676082614138409,0.2887080576920198,-0.5919436660232122,0.13752935209666362,0.014952202759161537,0.2760464893042922,FW
Abdoulie Ceesay,2025,St. Pauli,Bundesliga,0,Forward: Aerial Control + Possession Control,-3.498986042253108,-1.7883056742713421,1.2774357523397128,-0.041374254435950775,2.5334290167959352,-1.5068062097613506,1.3416147315099352,0.319077660634548,2.3886941183169483,0.40659924747396303,-1.051763737542558,FW
Abdul Fatawu Issahaku,2025,Leicester City,Premier League,1,Forward: Distribution + Ball Carrying,0.7287591487365148,-2.579314674101923,-0.5586686084823391,4.374910119369119,2.006717109704141,-1.1693263687344597,1.6728803238270302,0.8595512642336871,0.4690496839674836,-1.0642906755297474,0.313677881431488,FW
Abdul Majeed Waris,2020,Strasbourg,Ligue 1,3,Forward: Aerial Control + Distribution,1.2458392333423376,1.2912722303713196,-1.1912574519604568,-1.1453294958419917,-1.9083933658471324,1.6851725741724977,-0.18930519728519357,-2.3546590625179533,1.031017425553216,0.6585661178942246,-0.3767637117749132,FW
Abdón Prats,2020,Mallorca,La Liga,3,Forward: Aerial Control + Distribution,0.48474287318077813,-0.6862719911495674,0.3075740845378334,1.1769187284293423,-1.9723741419174985,-3.440918887684745,-1.253123235929479,0.343110907657433,-0.578792504826481,-0.6320278069793801,0.8560176884851103,FW
Abdón Prats,2022,Mallorca,La Liga,3,Forward: Aerial Control + Distribution,0.08183492682141491,-0.2703265102737902,-0.5129611812668422,-0.3923646470334319,-1.0733958933196845,-0.916651846344962,-0.14070902700700572,-0.23068644805573513,0.6895896903410517,-0.032438726019563546,-0.4613652342532646,FW
Abel Ruiz,2025,Girona,La Liga,3,Forward: Aerial Control + Distribution,-1.2599387413672503,-0.13707876425607424,-1.3991862106914965,-0.15529792992067826,1.3562632564171508,0.7982066624989557,0.44538811881807305,2.6495223329286546,-1.0989268399064542,-0.7907085361883901,0.6294518782295881,FW
Abou Ouattara,2020,Lille,Ligue 1,3,Forward: Aerial Control + Distribution,1.9054324956370579,-2.3023362224598003,1.5711875008392333,-0.8542907269815316,-2.6278085514265968,1.021750061522539,-0.23160037097795794,-1.1173993398273296,-2.0801851245327043,1.155817382797835,-0.7418984324493181,FW
Abu Kamara,2022,Norwich City,Premier League,0,Forward: Aerial Control + Possession Control,-4.420746355792801,-0.02870050996200746,1.4696034646057399,-0.44201791838902693,0.49329738245955923,0.5446320558393722,-0.8495384761313289,-1.287820365042876,-0.6120995308882584,0.5905083182524891,0.1464674195786415,FW
Adam Armstrong,2022,Southampton,Premier League,3,Forward: Aerial Control + Distribution,0.1972776302035868,-1.2122428696407042,1.079423260543937,1.4363592575555657,-0.6801993040371599,-0.9147795599995447,-0.15136101515372502,0.2225496095819608,-0.3197199617185049,-0.26824321401642237,0.12751548676754965,FW
Adam Ounas,2024,Lille,Ligue 1,1,Forward: Distribution + Ball Carrying,4.451387096988384,-0.7310761067684268,-1.7632277693829508,3.5952857829635576,1.5996416422838138,0.5696836510507524,0.8832883046409279,-0.6642530802291731,0.7245880643868361,0.5927240862821463,-1.188893319573367,FW
Adama Bojang,2024,Reims,Ligue 1,3,Forward: Aerial Control + Distribution,1.6136340183024913,1.7835139275420744,2.8029919308842466,0.023430294150173836,0.8921564346510422,-1.0675903390496728,0.7795511482840993,0.40491530495523875,0.2610909448604559,-1.6131686537664507,0.31928667816970346,FW
Adama Bojang,2025,Reims,Ligue 1,0,Forward: Aerial Control + Possession Control,-4.687107834131581,-0.17308521759747464,1.4330009868586444,-0.3065603657854723,2.097952813876418,0.9815542290511416,0.8046295820183786,0.1239560591729969,-0.23582238070511607,0.2737857604066676,-0.30683086839201223,FW
Adama Traoré,2022,Barcelona,La Liga,1,Forward: Distribution + Ball Carrying,4.926443279881454,-0.8690895815953326,-0.6331977725325153,5.2215287117847,0.31578964594518766,-0.12594751926121717,-0.12376028037533615,-1.5844316936796758,0.8261687889039422,0.9294258535136635,-0.8995413338049048,FW
Adel Mahamoud,2024,Nantes,Ligue 1,3,Forward: Aerial Control + Distribution,0.2858865473268395,-2.7682636249131605,1.235124138113168,-0.8122765868087782,-0.30448488628485393,-0.369991598565548,1.1610590168650106,0.17820408847899216,1.7302761460287286,-1.109870322113352,-0.9644279439094703,FW
Adel Mahamoud,2025,Nantes,Ligue 1,0,Forward: Aerial Control + Possession Control,-4.687107834131581,-0.17308521759747464,1.4330009868586444,-0.3065603657854723,2.097952813876418,0.9815542290511416,0.8046295820183786,0.1239560591729969,-0.23582238070511607,0.2737857604066676,-0.30683086839201223,FW
Ademola Ola-Adebomi,2024,Crystal Palace,Premier League,0,Forward: Aerial Control + Possession Control,-4.598320674685311,-0.12495698171899505,1.445201812774343,-0.3517128833199905,1.56306767007095,0.8359135046472375,0.25324022930180945,-0.34663608223229403,-0.3612480974328207,0.37935994635526527,-0.155731439068461,FW
Adil Ben Achour,2021,Montpellier,Ligue 1,0,Forward: Aerial Control + Possession Control,-4.33195919634656,0.019427725916472127,1.4818042905214384,-0.48717043592354514,-0.0415877613459088,0.3989913314354112,-1.4009278288478981,-1.7584125064482805,-0.737525247615963,0.6960825042010867,0.29756684890219276,FW
Adnan Januzaj,2023,Sevilla,La Liga,1,Forward: Distribution + Ball Carrying,2.242026061011444,-3.002237642626497,0.002163991666371601,1.0524509737846586,0.43731723042174053,-0.09477387097342671,0.7916980495283497,-0.8450031983203417,-0.14605634986813243,0.10362566071469814,-1.8098399869714967,FW
Ado Onaiwu,2023,Toulouse,Ligue 1,3,Forward: Aerial Control + Distribution,0.695672610986179,-1.3538275414602339,-0.01993617590103014,0.34610590640588157,-0.44167568049215333,0.11751737995678013,0.1531441910351532,0.9975977775843603,0.2903116656048894,-0.5186456173863405,-0.24294579750551293,FW
Adolfo Gaich,2021,Benevento,Serie A,3,Forward: Aerial Control + Distribution,-0.5928265314082353,-0.5924358895596669,1.1017055252436094,0.010466417390929905,-1.8381936965752175,-1.006732935994762,-0.43423188531028245,-0.40952581398050825,0.427031728765769,-0.5989169720396319,0.41157542960598903,FW
Adolfo Gaich,2023,Hellas Verona,Serie A,3,Forward: Aerial Control + Distribution,-0.6908982574355775,-0.5730089908402789,0.9950390972086893,-0.24629867032608388,-1.0015790458614902,-2.600820638581979,0.5987825591814726,-0.11546104615445074,1.5596824238177476,-0.21588573044735426,-0.7749860128058685,FW
Adrian Baquerin,2025,Valladolid,La Liga,0,Forward: Aerial Control + Possession Control,-2.221746878787883,-0.38396391834228893,0.8112715957559047,1.300092783870582,3.0711994468363173,1.4398507285037567,-0.39360995433685275,1.3631814241665552,-1.680671915394214,-1.4191691862027938,0.44271072482979434,FW
Adrian Blake,2022,Watford,Premier League,0,Forward: Aerial Control + Possession Control,-4.420746355792801,-0.02870050996200746,1.4696034646057399,-0.44201791838902693,0.49329738245955923,0.5446320558393722,-0.8495384761313289,-1.287820365042876,-0.6120995308882584,0.5905083182524891,0.1464674195786415,FW
Adrian Grbić,2021,Lorient,Ligue 1,3,Forward: Aerial Control + Distribution,0.12908927589577956,0.9288200529738333,-1.0293578995523092,0.8013540281858269,-1.1367575074714296,-4.714497400496555,-0.5423630525954195,1.1281994535258946,-0.8830085309626554,-1.1105567945244559,1.7927038138895455,FW
Adrian Grbić,2024,Lorient,Ligue 1,1,Forward: Distribution + Ball Carrying,1.2767707471303993,-2.9284039990115787,1.2578876746362404,2.8788120364069414,2.5723150315282055,-3.7405833087622113,1.600698666822609,-1.4631940315126712,-0.7427229887803435,-0.004592292525501307,-1.1379567890031694,FW
Adrian Niño,2024,Atlético Madrid,La Liga,0,Forward: Aerial Control + Possession Control,-4.598320674685311,-0.12495698171899505,1.445201812774343,-0.3517128833199905,1.56306767007095,0.8359135046472375,0.25324022930180945,-0.34663608223229403,-0.3612480974328207,0.37935994635526527,-0.155731439068461,FW
Adrian Niño,2025,Atlético Madrid,La Liga,0,Forward: Aerial Control + Possession Control,-3.6368844860224385,3.0854238182159435,4.663090717279697,1.4599584177506983,4.262333815268676,-0.32204278662396746,-1.51848308111812,0.32092522762116005,0.9237656607475628,-3.9221866713731117,-0.27846505628440354,FW
Adrián Butzke,2022,Granada,La Liga,3,Forward: Aerial Control + Distribution,7.818027983378244,2.5528777792590205,4.268133011327254,-5.718396227377966,13.049734110186591,-3.567789871929449,-14.958140593740382,-4.027284738998333,19.554667942614344,-10.330959627229134,0.5153379848555915,FW
Adrián López,2020,Osasuna,La Liga,3,Forward: Aerial Control + Distribution,1.703556859297521,-0.29444409325333254,-0.399584564922435,0.7161913584177455,-1.8734727941862275,-1.6527240948637427,-1.6783571242203834,0.12026159322738295,-0.220458839283026,1.9801807638941682e-05,0.7025407705402245,FW
Adu Ares,2024,Athletic Club,La Liga,1,Forward: Distribution + Ball Carrying,2.4784006528513487,-2.8325939264672257,0.5785181902218746,2.9578089598792445,0.4203689380376545,0.7732207443553989,0.9163500883425968,0.2736130094139071,-0.490495840906533,-0.9624694652634389,0.12557003131507827,FW
Adu Ares,2025,Athletic Club,La Liga,1,Forward: Distribution + Ball Carrying,1.877643646720344,-2.7936392042627745,1.2572332656274945,1.1461778505393738,1.3443947512876093,0.5376678140739273,2.856786918284797,-0.11280519360786911,1.059467954678297,-0.15904703530225106,-2.2449646493310524,FW
Agustín Álvarez Martínez,2024,Sassuolo,Serie A,0,Forward: Aerial Control + Possession Control,-4.598320674685311,-0.12495698171899505,1.445201812774343,-0.3517128833199905,1.56306767007095,0.8359135046472375,0.25324022930180945,-0.34663608223229403,-0.3612480974328207,0.37935994635526527,-0.155731439068461,FW
Aimar Oroz,2020,Osasuna,La Liga,3,Forward: Aerial Control + Distribution,2.6702043587293645,-2.2578427170737143,-1.177475914922507,0.11973934826660582,-2.388904820756352,2.6377627860676967,-2.9811470637002913,1.34680020904716,-2.5903242175704406,-0.8659265978124608,-0.255582916400499,FW
Aingeru Olabarrieta,2024,Athletic Club,La Liga,1,Forward: Distribution + Ball Carrying,4.049948903108401,-2.839513413282887,0.69041069966433,7.108040984471813,4.263969802108022,-1.9685972429939511,3.137301313226999,-4.938899563970381,0.28346555359220815,1.6244524078881852,-4.088564347375211,FW
Aingeru Olabarrieta,2025,Athletic Club,La Liga,0,Forward: Aerial Control + Possession Control,-2.761172935720765,-2.0314853686757317,0.17095920637094508,0.5403828589511335,2.9340844413632112,-0.07665075851946312,1.4117255879289132,-0.35857788638668353,1.154670958250648,0.5359042868841755,-1.738876401494224,FW
Akor Adams,2024,Montpellier,Ligue 1,3,Forward: Aerial Control + Distribution,-0.7075086032905347,0.42144511538160145,0.6437504940069196,-0.014597427337832869,0.29067998563027686,-0.45131086485946525,1.2564064743269228,0.8738753536059676,0.6501906651037359,-0.48799437868368045,-0.8635592692060072,FW
Akor Adams,2025,Montpellier,Ligue 1,3,Forward: Aerial Control + Distribution,-2.238938101410838,-0.3478676052208698,0.24029552749472316,0.07579559708214845,0.9327785861739812,-1.3814867445223058,1.9505252216990812,1.2588188744384752,1.3940928754880417,-0.4718418633432293,-0.672107371701486,FW
Alan Do Marcolino,2023,Rennes,Ligue 1,0,Forward: Aerial Control + Possession Control,-1.9842602990804608,-1.754437996622741,-0.5284450746325611,-0.10457542529651676,-0.08430709811318593,2.480686820288099,-0.9035622725964458,1.2148371904545456,-1.8989313289500558,0.06443265050558011,0.36252389494683257,FW
Alan Do Marcolino,2025,Rennes,Ligue 1,0,Forward: Aerial Control + Possession Control,-4.687107834131581,-0.17308521759747464,1.4330009868586444,-0.3065603657854723,2.097952813876418,0.9815542290511416,0.8046295820183786,0.1239560591729969,-0.23582238070511607,0.2737857604066676,-0.30683086839201223,FW
Alan Godoy,2022,Alavés,La Liga,0,Forward: Aerial Control + Possession Control,-4.420746355792801,-0.02870050996200746,1.4696034646057399,-0.44201791838902693,0.49329738245955923,0.5446320558393722,-0.8495384761313289,-1.287820365042876,-0.6120995308882584,0.5905083182524891,0.1464674195786415,FW
Alan Virginius,2023,Lille,Ligue 1,3,Forward: Aerial Control + Distribution,1.9053633226981788,2.120167398275143,1.15917633168959,-0.28986912845211066,0.20240232990227014,1.0756748660051585,1.0725989689781272,0.4261566026738137,-0.8284459037331544,-1.2846201325188247,-0.09831224245061776,FW
Alan Virginius,2024,Clermont Foot,Ligue 1,3,Forward: Aerial Control + Distribution,0.09440264686500655,-1.609615427918257,0.29682411291946664,2.340029171934404,0.8092288179791467,-0.6892066387935074,1.098642854105492,0.0657780374945105,0.6562688894169639,0.1651620457793399,-0.3386565077636874,FW
Alassane Pléa,2020,M'Gladbach,Bundesliga,3,Forward: Aerial Control + Distribution,2.544506231069306,1.576164232225139,-1.094274027291899,0.2944465664967595,-1.1581117831331085,0.24705088948149978,-1.2090152933621994,-1.3543719290431682,-0.0727866228767482,0.7185964431694174,-0.18385669942995264,FW
Alassane Pléa,2021,M'Gladbach,Bundesliga,1,Forward: Distribution + Ball Carrying,2.562349795053308,-0.03685299750689808,-0.6272314823915615,0.9921352863833306,-0.6952461132664212,0.21943550057227412,-1.135271552609538,-0.6146289266675922,-0.29966644685711685,0.06349535248997995,-0.019719639683046353,FW
Alassane Pléa,2023,M'Gladbach,Bundesliga,1,Forward: Distribution + Ball Carrying,2.6363635740138136,-0.9623755295616832,-1.0262575432465688,2.0121813796875756,0.7412930105572286,-0.9219534774820772,-0.14068586115786275,0.6684699427751184,-0.07355551474694266,-0.3588741174135919,0.12656620119076933,FW
Alberto Cerri,2020,Cagliari,Serie A,3,Forward: Aerial Control + Distribution,1.6890400376925356,-0.9928518346427779,-0.031020848056630967,-0.629523774450945,-2.614566166448867,-1.8375992567889057,-1.5767690941502224,-1.0440792372558008,0.5070642180885159,-0.15347333184521972,0.16870088689813656,FW
Alberto Cerri,2021,Cagliari,Serie A,3,Forward: Aerial Control + Distribution,2.3266870244983693,0.7740146751114594,1.2675890019677318,-0.6779383598484259,-2.017575317314595,-1.4503037173116695,-0.3381443241271427,0.030054268858862088,0.569520783291523,-0.1776386435950883,-0.3387310933339336,FW
Alberto Cerri,2024,Empoli,Serie A,3,Forward: Aerial Control + Distribution,-0.9481236605160461,-1.0036514139199255,0.7813478765910844,-0.7679314455241126,-0.2563104924979598,-1.9004059173234396,1.7837833406135815,1.1972370451082952,2.167479410758517,-0.2642529914977274,-1.1502880177257566,FW
Alberto Cerri,2025,Como,Serie A,3,Forward: Aerial Control + Distribution,-1.2628914149651678,0.6698166117844693,2.559033721817915,-0.5945206644754677,1.0393440131731495,-1.805462054602856,1.2278399844508385,2.1448957354446065,0.33429504157206225,-1.4864427854293467,-0.7327793276954253,FW
Alberto Marí,2024,Valencia,La Liga,3,Forward: Aerial Control + Distribution,0.06718946023025296,1.401586848179818,-1.1557393590958824,0.13959977182966554,-0.26441485882855886,-3.383612504915334,0.39150871062565784,3.6291800887263435,-0.3391202362573438,-0.7449177146386319,2.182125212103074,FW
Alberto Marí,2025,Valencia,La Liga,3,Forward: Aerial Control + Distribution,1.4831924944954267,-2.6393732654580333,1.3106628176382955,-0.024975460620240142,1.814401246237594,1.1318765672140216,0.4477865725505126,0.7393264257369765,0.31000989551662883,-0.6072761960309663,-1.580938703767515,FW
