player,season_end_year,age,position_group_model,comp,target_market_value,predicted_log_value,expected_market_value_raw,undervaluation_raw
Phillip Tietz,2024,26.0,FW,Bundesliga,5000000.0,15.186091145767746,3937635.175483357,-1062364.8245166428
Mitchell Dijks,2021,27.0,DF,Serie A,3500000.0,14.706504652129961,2437550.6030935403,-1062449.3969064597
Lennart-Marten Czyborra,2020,20.0,DF,Serie A,3500000.0,14.704729300160805,2433226.9302112903,-1066773.0697887097
NicolÃ² Rovella,2021,18.0,MF,Serie A,5000000.0,15.184573445962599,3931663.5585342846,-1068336.4414657154
Marin PongraÄiÄ,2020,21.0,DF,Bundesliga,10000000.0,16.004921065069816,8929946.42225379,-1070053.5777462106
RubÃ©n Duarte,2022,25.0,DF,La Liga,3000000.0,14.471828363624336,1927680.153429282,-1072319.846570718
Antonino La Gumina,2020,23.0,FW,Serie A,3500000.0,14.702384904633774,2427529.1630550423,-1072470.8369449577
Olivier Ntcham,2021,24.0,MF,Ligue 1,3000000.0,14.471040852961533,1926162.6815575354,-1073837.3184424646
Ivan RakitiÄ,2024,36.0,MF,La Liga,3500000.0,14.701533261203766,2425462.6530302735,-1074537.3469697265
Junior Mwanga,2025,21.0,MF,Ligue 1,6000000.0,15.409665792857359,4924166.5496855555,-1075833.4503144445
Julian Weigl,2024,28.0,MF,Bundesliga,6000000.0,15.409618347987637,4923932.928739774,-1076067.071260226
Jean-Charles Castelletto,2023,27.0,DF,Ligue 1,3500000.0,14.699316234379321,2420091.2914762273,-1079908.7085237727
IvÃ¡n Marcone,2021,30.0,MF,La Liga,3000000.0,14.467466465727663,1919290.1166051754,-1080709.8833948246
Marc GuÃ©hi,2020,19.0,DF,Premier League,2700000.0,14.29597727372162,1616827.8256183963,-1083172.1743816037
Zack Steffen,2022,26.0,GK,Premier League,6000000.0,15.408131096990955,4916615.246060929,-1083384.7539390707
Arijon IbrahimoviÄ,2025,18.0,FW,Bundesliga,4000000.0,14.885198633255861,2914469.2628906816,-1085530.7371093184
Johann Lepenant,2024,21.0,MF,Ligue 1,6000000.0,15.407595353880758,4913981.908240903,-1086018.0917590968
Silvan Widmer,2024,31.0,DF,Bundesliga,3000000.0,14.464650792088065,1913893.6201531328,-1086106.3798468672
Arnau Tenas,2021,19.0,GK,La Liga,1500000.0,12.928944279610638,412067.25397996104,-1087932.746020039
Silvan Widmer,2023,29.0,DF,Bundesliga,3500000.0,14.695931107300606,2411912.821916559,-1088087.1780834412
Patrick Mainka,2025,29.0,DF,Bundesliga,3000000.0,14.463439302547751,1911576.360790716,-1088423.639209284
Danny Drinkwater,2020,29.0,MF,Premier League,4800000.0,15.126669880285727,3710471.853685769,-1089528.1463142312
Ylber Ramadani,2025,28.0,MF,Serie A,4000000.0,14.883591901394135,2909790.250624894,-1090209.7493751058
Antonio RÃ¼diger,2022,28.0,DF,Premier League,40000000.0,17.476747955436124,38909458.56235057,-1090541.4376494288
Lassana Coulibaly,2022,25.0,MF,Serie A,3000000.0,14.462224960759595,1909256.4613806957,-1090743.5386193043
Marcin BuÅka,2023,22.0,GK,Ligue 1,2000000.0,13.720066993499803,908968.6583956287,-1091031.3416043713
Iglesias,2025,26.0,DF,La Liga,3150000.0,14.53745583059856,2058432.5329448085,-1091567.4670551915
Kevin Strootman,2021,30.0,MF,Serie A,5000000.0,15.17863974590089,3908403.318192516,-1091596.681807484
Oscar EstupiÃ±an,2024,27.0,FW,Ligue 1,4000000.0,14.882440921903742,2906443.0672133425,-1093556.9327866575
Giuseppe Pezzella,2021,22.0,DF,Serie A,6000000.0,15.405882403106123,4905571.702602254,-1094428.2973977458
Islam Slimani,2021,32.0,FW,Premier League,3000000.0,14.4602182682568,1905429.010290109,-1094570.989709891
Jonathan Gradit,2025,31.0,DF,Ligue 1,4000000.0,14.881698553635243,2904286.216051663,-1095713.7839483372
Sergio Ruiz,2025,18.0,FW,La Liga,2000000.0,13.711855832431059,901535.5212309506,-1098464.4787690495
Arnau Tenas,2022,20.0,GK,La Liga,1500000.0,12.895473705700677,398503.3550263727,-1101496.6449736273
Elvis RexhbeÃ§aj,2023,24.0,MF,Bundesliga,3500000.0,14.68976416914291,2397084.468299861,-1102915.531700139
Nahuel Tenaglia,2022,25.0,DF,La Liga,3000000.0,14.455318538960285,1896115.75389604,-1103884.24610396
Crespo,2024,27.0,MF,La Liga,4000000.0,14.878723973341065,2895660.0165521624,-1104339.9834478376
JiÅÃ­ Pavlenka,2023,30.0,GK,Bundesliga,3000000.0,14.453997907479547,1893613.3351698634,-1106386.6648301366
Kristoffer Klaesson,2023,21.0,GK,Premier League,1800000.0,13.449429339736422,693445.4784284806,-1106554.5215715193
Manolo Gabbiadini,2020,27.0,FW,Serie A,10000000.0,16.000810572042763,8893315.273261031,-1106684.7267389689
