player,season_end_year,age,position_group_model,comp,target_market_value,predicted_log_value,expected_market_value_raw,undervaluation_raw
Cheikhou KouyatÃ©,2023,32.0,MF,Premier League,2000000.0,16.29191753570694,11898435.176502617,9898435.176502617
Daniel Jebbison,2025,20.0,FW,Premier League,1200000.0,16.218650041154945,11057836.838659197,9857836.838659197
Daniel Jebbison,2021,17.0,FW,Premier League,1000000.0,16.188691497768847,10731473.222592255,9731473.222592255
Ibrahima Niane,2021,21.0,FW,Ligue 1,9000000.0,16.744342350175014,18705764.50676469,9705764.506764691
Jarrad Branthwaite,2022,19.0,DF,Premier League,3000000.0,16.356167959651884,12688008.348459901,9688008.348459901
Marcos AntÃ´nio,2023,22.0,MF,Serie A,8000000.0,16.68378598186003,17606627.032310233,9606627.032310233
Saman Ghoddos,2020,25.0,FW,Ligue 1,3200000.0,16.365031593046105,12800970.098035417,9600970.098035417
Abdelhamid Sabiri,2020,22.0,MF,Bundesliga,1700000.0,16.24014339742871,11298079.448388727,9598079.448388727
Lukas Nmecha,2024,25.0,FW,Bundesliga,5000000.0,16.493408092563378,14554459.854964811,9554459.854964811
Josip StaniÅ¡iÄ,2021,20.0,DF,Bundesliga,400000.0,16.109814420318084,9917528.642930757,9517528.642930757
Jack Stephens,2025,30.0,DF,Premier League,2000000.0,16.258555691903684,11508029.93642383,9508029.93642383
Muhamed BeÅ¡iÄ,2020,26.0,MF,Premier League,2400000.0,16.28807999914907,11852861.993001154,9452861.993001154
Michail Antonio,2020,29.0,FW,Premier League,9500000.0,16.75738101601338,18951259.719501875,9451259.719501875
Oier Zarraga,2024,25.0,MF,Serie A,2000000.0,16.25342364547538,11449121.47712751,9449121.47712751
NiccolÃ² Zanellato,2021,22.0,MF,Serie A,1800000.0,16.23553037017897,11246081.12246819,9446081.12246819
Luca Gagliano,2020,19.0,FW,Serie A,200000.0,16.077823575781302,9605279.677535363,9405279.677535363
Eiran Cashin,2025,22.0,DF,Premier League,1800000.0,16.229152129424154,11174579.173867047,9374579.173867047
Oghenekaro Etebo,2022,25.0,MF,Premier League,1750000.0,16.224547587332026,11123243.628135687,9373243.628135687
Kortney Hause,2022,26.0,DF,Premier League,4000000.0,16.408726924131585,13372713.051897846,9372713.051897846
Aaron Connolly,2020,19.0,FW,Premier League,4000000.0,16.40676835627248,13346547.316015732,9346547.316015732
Mateusz Klich,2021,30.0,MF,Premier League,4000000.0,16.406615904164816,13344512.761684913,9344512.761684913
Salim Ben Seghir,2021,17.0,DF,Ligue 1,400000.0,16.0879932512817,9703460.65327418,9303460.65327418
Nampalys Mendy,2022,29.0,MF,Premier League,4000000.0,16.40076917431991,13266718.637034928,9266718.637034928
Denis Odoi,2021,32.0,DF,Premier League,600000.0,16.103729378648662,9857363.301748596,9257363.301748596
Amin Sarr,2025,23.0,FW,Serie A,4000000.0,16.39938358632849,13248349.158823397,9248349.158823397
Nampalys Mendy,2020,27.0,MF,Premier League,5500000.0,16.504225109944993,14712750.282734867,9212750.282734867
Malang Sarr,2022,22.0,DF,Premier League,8000000.0,16.658941761806012,17174593.08626662,9174593.086266618
Tom Cairney,2024,33.0,MF,Premier League,2000000.0,16.226055536438523,11140029.56792467,9140029.56792467
Brandon Williams,2021,19.0,DF,Premier League,10000000.0,16.762736891881268,19053032.617677223,9053032.617677223
Phil Jones,2022,29.0,DF,Premier League,3000000.0,16.30313322366883,12032635.491551343,9032635.491551343
MoisÃ©s Caicedo,2022,19.0,MF,Premier League,6000000.0,16.52562401386123,15030979.77154341,9030979.77154341
Matt Doherty,2025,32.0,DF,Premier League,2500000.0,16.26024668163962,11527506.361194383,9027506.361194383
Blendi Idrizi,2021,22.0,MF,Bundesliga,400000.0,16.05702422106909,9407559.39276297,9007559.39276297
Oliver Norwood,2024,33.0,MF,Premier League,1000000.0,16.118717411916197,10006218.54291289,9006218.54291289
Lewis Dobbin,2024,21.0,MF,Premier League,2500000.0,16.25720687396413,11492518.16147972,8992518.16147972
Bali Mumba,2022,19.0,DF,Premier League,400000.0,16.051014029464568,9351187.724225763,8951187.724225763
Yoane Wissa,2025,27.0,FW,Premier League,28000000.0,17.423742686833354,36900758.329466514,8900758.329466514
Michel Ndary Adopo,2024,23.0,MF,Serie A,1000000.0,16.104979967918545,9869698.527316399,8869698.527316399
Divin Mubama,2023,17.0,FW,Premier League,250000.0,16.023471311693545,9097145.143472264,8847145.143472264
Billy Sharp,2021,34.0,FW,Premier League,500000.0,16.047198554360307,9315576.476569587,8815576.476569587
Daniel Amartey,2021,25.0,DF,Premier League,5000000.0,16.439383639802713,13789025.322934283,8789025.322934283
Jay Rodriguez,2024,34.0,FW,Premier League,800000.0,16.0724387340511,9553695.771543559,8753695.771543559
Cristian Volpato,2023,18.0,MF,Serie A,3000000.0,16.276820124887667,11720148.815074975,8720148.815074975
Assane Diao,2025,18.0,FW,La Liga,9000000.0,16.68875476816299,17694328.30853171,8694328.308531709
Sergi Guardiola,2022,30.0,FW,La Liga,3000000.0,16.274475980554953,11692707.268346503,8692707.268346503
Romain Esse,2025,19.0,MF,Premier League,5000000.0,16.43189013553958,13686083.37506594,8686083.37506594
ClÃ©ment Grenier,2022,30.0,MF,La Liga,1000000.0,16.08456752705057,9670276.14250735,8670276.14250735
Ben Johnson,2020,19.0,DF,Premier League,1000000.0,16.075353621784725,9581584.351366874,8581584.351366874
Theo Walcott,2021,31.0,FW,Premier League,5000000.0,16.42212138638404,13553038.349646026,8553038.349646026
Filip KrovinoviÄ,2021,24.0,MF,Premier League,3000000.0,16.262440307489726,11552821.154770736,8552821.154770736
Yoram Zague,2024,18.0,DF,Ligue 1,2500000.0,16.2164758450261,11033821.04741764,8533821.04741764
George Hirst,2025,25.0,FW,Premier League,5000000.0,16.414747513677526,13453467.525159484,8453467.525159484
Janis Antiste,2023,19.0,FW,Serie A,3000000.0,16.250316215070786,11413599.345695626,8413599.345695626
Juan Herzog,2024,21.0,DF,La Liga,1000000.0,16.057510907215324,9412139.036410164,8412139.036410164
Yann Gboho,2020,18.0,FW,Ligue 1,2700000.0,16.222409883841912,11099490.826541582,8399490.826541582
